Week_Start_Date,MMWR_week,Country_Region,Population,Density (P/Km²),Confirmed,Deaths,Recovered,Active
2020-02-24,9,Mexico,128932753,66,15.0,0.0,0.0,15.0
2020-02-24,9,Monaco,39242,26337,12.0,0.0,0.0,12.0
2020-02-24,9,Netherlands,17134872,508,18.0,0.0,0.0,18.0
2020-02-24,9,New Zealand,4822233,18,5.0,0.0,0.0,5.0
2020-02-24,9,Nigeria,206139589,226,10.0,0.0,0.0,10.0
2020-02-24,9,North Macedonia,2083374,83,9.0,0.0,0.0,9.0
2020-02-24,9,Norway,5421241,15,42.0,0.0,0.0,42.0
2020-02-24,9,Oman,5106626,16,34.0,0.0,3.0,31.0
2020-02-24,9,Pakistan,220892340,287,18.0,0.0,0.0,18.0
2020-02-24,9,Qatar,2881053,248,7.0,0.0,0.0,7.0
2020-02-24,9,Romania,19237691,84,14.0,0.0,0.0,14.0
2020-02-24,9,San Marino,33931,566,4.0,0.0,0.0,4.0
2020-02-24,9,Singapore,5850342,8358,578.0,0.0,383.0,195.0
2020-02-24,9,South Korea,51269185,527,14060.0,89.0,163.0,13808.0
2020-02-24,9,Spain,46754778,94,195.0,0.0,12.0,183.0
2020-02-24,9,Sweden,10099265,25,42.0,0.0,0.0,42.0
2020-02-24,9,Switzerland,8654622,219,63.0,0.0,0.0,63.0
2020-02-24,9,Taiwan,23816775,673,238.0,7.0,44.0,187.0
2020-02-24,9,Thailand,69799978,137,242.0,1.0,150.0,91.0
2020-02-24,9,US,331002651,36,360.0,2.0,24.0,334.0
2020-02-24,9,United Arab Emirates,9890402,118,82.0,0.0,20.0,62.0
2020-02-24,9,United Kingdom,67886011,281,133.0,0.0,56.0,77.0
2020-02-24,9,Vietnam,97338579,314,176.0,0.0,176.0,0.0
2020-03-02,10,Afghanistan,38928346,60,8.0,0.0,0.0,8.0
2020-03-02,10,Algeria,43851044,18,85.0,0.0,0.0,85.0
2020-03-02,10,Andorra,77265,164,10.0,0.0,0.0,10.0
2020-03-02,10,Argentina,45195774,17,37.0,2.0,0.0,35.0
2020-03-02,10,Australia,25499884,3,381.0,11.0,120.0,250.0
2020-03-02,10,Austria,9006398,109,347.0,0.0,0.0,347.0
2020-03-02,10,Azerbaijan,10139177,123,39.0,0.0,0.0,39.0
2020-03-02,10,Bahrain,1701575,2239,435.0,0.0,12.0,423.0
2020-03-02,10,Bangladesh,164689383,1265,6.0,0.0,0.0,6.0
2020-03-02,10,Belarus,9449323,47,30.0,0.0,0.0,30.0
2020-03-02,10,Belgium,11589623,383,572.0,0.0,7.0,565.0
2020-03-02,10,Bhutan,771608,20,7.0,0.0,0.0,7.0
2020-03-02,10,Bosnia and Herzegovina,3280819,64,13.0,0.0,0.0,13.0
2020-03-02,10,Brazil,212559417,25,54.0,0.0,0.0,54.0
2020-03-02,10,Bulgaria,6948445,64,4.0,0.0,0.0,4.0
2020-03-02,10,Cambodia,16718965,95,6.0,0.0,3.0,3.0
2020-03-02,10,Cameroon,26545863,56,12.0,0.0,0.0,12.0
2020-03-02,10,Canada,37742154,4,276.0,0.0,36.0,240.0
2020-03-02,10,Chile,19116201,26,30.0,0.0,0.0,30.0
2020-03-02,10,China,1439323776,153,590293.0,21371.0,388249.0,180673.0
2020-03-02,10,Colombia,50882891,46,4.0,0.0,0.0,4.0
2020-03-02,10,Costa Rica,5094118,100,7.0,0.0,0.0,7.0
2020-03-02,10,Croatia,4105267,73,76.0,0.0,0.0,76.0
2020-03-02,10,Czechia,10708981,139,127.0,0.0,0.0,127.0
2020-03-02,10,Denmark,5792202,137,117.0,0.0,3.0,114.0
2020-03-02,10,Dominican Republic,10847910,225,33.0,0.0,0.0,33.0
2020-03-02,10,Ecuador,17643054,71,70.0,0.0,0.0,70.0
2020-03-02,10,Egypt,102334404,103,82.0,1.0,4.0,77.0
2020-03-02,10,Estonia,1326535,31,47.0,0.0,0.0,47.0
2020-03-02,10,Finland,5540720,18,65.0,0.0,4.0,61.0
2020-03-02,10,France,65273511,119,3785.0,56.0,84.0,3645.0
2020-03-02,10,French Guiana,298682,4,35.0,0.0,0.0,35.0
2020-03-02,10,Georgia,3989167,57,25.0,0.0,0.0,25.0
2020-03-02,10,Germany,83783942,240,3608.0,0.0,117.0,3491.0
2020-03-02,10,Greece,10423054,81,277.0,0.0,0.0,277.0
2020-03-02,10,Hong Kong,7496981,7140,739.0,15.0,308.0,416.0
2020-03-02,10,Hungary,9660351,107,17.0,0.0,0.0,17.0
2020-03-02,10,Iceland,341243,3,220.0,0.0,0.0,220.0
2020-03-02,10,India,1380004385,464,172.0,0.0,21.0,151.0
2020-03-02,10,Indonesia,273523615,151,22.0,0.0,0.0,22.0
2020-03-02,10,Iran,83992949,52,27408.0,805.0,6589.0,20014.0
2020-03-02,10,Iraq,40222493,93,282.0,17.0,0.0,265.0
2020-03-02,10,Ireland,4937786,72,90.0,0.0,0.0,90.0
2020-03-02,10,Israel,8655535,400,163.0,0.0,11.0,152.0
2020-03-02,10,Italy,60461826,206,29379.0,1182.0,2733.0,25464.0
2020-03-02,10,Japan,126476461,347,2641.0,42.0,359.0,2240.0
2020-03-02,10,Jordan,10203134,115,10.0,0.0,0.0,10.0
2020-03-02,10,Kuwait,4270571,240,473.0,0.0,2.0,471.0
2020-03-02,10,Latvia,1886198,30,8.0,0.0,0.0,8.0
2020-03-02,10,Lebanon,6825445,667,163.0,0.0,6.0,157.0
2020-03-02,10,Liechtenstein,38128,238,9.0,0.0,0.0,9.0
2020-03-02,10,Luxembourg,625978,242,13.0,0.0,0.0,13.0
2020-03-02,10,Macau,649335,21645,70.0,0.0,67.0,3.0
2020-03-02,10,Malaysia,32365999,99,411.0,0.0,135.0,276.0
2020-03-02,10,Maldives,540544,1802,8.0,0.0,0.0,8.0
2020-03-02,10,Malta,441543,1380,9.0,0.0,0.0,9.0
2020-03-02,10,Martinique,375265,354,8.0,0.0,0.0,8.0
2020-03-02,10,Mexico,128932753,66,41.0,0.0,7.0,34.0
2020-03-02,10,Moldova,4033963,123,1.0,0.0,0.0,1.0
2020-03-02,10,Morocco,36910560,83,13.0,0.0,0.0,13.0
2020-03-02,10,Netherlands,17134872,508,743.0,5.0,0.0,738.0
2020-03-02,10,New Zealand,4822233,18,40.0,0.0,0.0,40.0
2020-03-02,10,North Macedonia,2083374,83,12.0,0.0,0.0,12.0
2020-03-02,10,Norway,5421241,15,631.0,0.0,0.0,631.0
2020-03-02,10,Oman,5106626,16,107.0,0.0,14.0,93.0
2020-03-02,10,Pakistan,220892340,287,39.0,0.0,2.0,37.0
2020-03-02,10,Paraguay,7132538,18,3.0,0.0,0.0,3.0
2020-03-02,10,Peru,32971854,26,8.0,0.0,0.0,8.0
2020-03-02,10,Philippines,109581078,368,21.0,3.0,3.0,15.0
2020-03-02,10,Poland,37846611,124,23.0,0.0,0.0,23.0
2020-03-02,10,Portugal,10196709,111,110.0,0.0,0.0,110.0
2020-03-02,10,Qatar,2881053,248,54.0,0.0,0.0,54.0
2020-03-02,10,Romania,19237691,84,61.0,0.0,12.0,49.0
2020-03-02,10,Russia,145934462,9,73.0,0.0,18.0,55.0
2020-03-02,10,Saint Barthelemy,9877,470,15.0,0.0,0.0,15.0
2020-03-02,10,San Marino,33931,566,171.0,7.0,0.0,164.0
2020-03-02,10,Saudi Arabia,34813871,16,29.0,0.0,0.0,29.0
2020-03-02,10,Senegal,16743927,87,39.0,0.0,5.0,34.0
2020-03-02,10,Serbia,8737371,100,4.0,0.0,0.0,4.0
2020-03-02,10,Singapore,5850342,8358,1013.0,0.0,624.0,389.0
2020-03-02,10,Slovakia,5459642,114,8.0,0.0,0.0,8.0
2020-03-02,10,Slovenia,2078938,103,48.0,0.0,0.0,48.0
2020-03-02,10,South Africa,59308690,49,9.0,0.0,0.0,9.0
2020-03-02,10,South Korea,51269185,527,42178.0,262.0,530.0,41386.0
2020-03-02,10,Spain,46754778,94,2339.0,38.0,70.0,2231.0
2020-03-02,10,Sweden,10099265,25,630.0,0.0,0.0,630.0
2020-03-02,10,Switzerland,8654622,219,1121.0,5.0,17.0,1099.0
2020-03-02,10,Taiwan,23816775,673,304.0,7.0,85.0,212.0
2020-03-02,10,Thailand,69799978,137,374.0,8.0,248.0,118.0
2020-03-02,10,Togo,8278724,152,7.0,0.0,0.0,7.0
2020-03-02,10,Tunisia,11818619,76,8.0,0.0,0.0,8.0
2020-03-02,10,US,331002651,36,2163.0,108.0,51.0,2004.0
2020-03-02,10,Ukraine,43733762,75,10.0,0.0,0.0,10.0
2020-03-02,10,United Arab Emirates,9890402,118,247.0,0.0,41.0,206.0
2020-03-02,10,United Kingdom,67886011,281,939.0,8.0,76.0,855.0
2020-03-02,10,Vietnam,97338579,314,78.0,0.0,48.0,30.0
2020-03-09,11,Afghanistan,38928346,60,53.0,0.0,0.0,53.0
2020-03-09,11,Albania,2877797,105,160.0,5.0,0.0,155.0
2020-03-09,11,Algeria,43851044,18,195.0,10.0,40.0,145.0
2020-03-09,11,Andorra,77265,164,4.0,0.0,3.0,1.0
2020-03-09,11,Antigua and Barbuda,97929,223,9.0,0.0,0.0,9.0
2020-03-09,11,Argentina,45195774,17,165.0,9.0,2.0,154.0
2020-03-09,11,Armenia,2963243,104,56.0,0.0,0.0,56.0
2020-03-09,11,Australia,25499884,3,1172.0,22.0,141.0,1009.0
2020-03-09,11,Austria,9006398,109,2880.0,4.0,32.0,2844.0
2020-03-09,11,Azerbaijan,10139177,123,86.0,3.0,18.0,65.0
2020-03-09,11,Bahrain,1701575,2239,1208.0,0.0,254.0,954.0
2020-03-09,11,Bangladesh,164689383,1265,20.0,0.0,0.0,20.0
2020-03-09,11,Belarus,9449323,47,117.0,0.0,19.0,98.0
2020-03-09,11,Belgium,11589623,383,3268.0,17.0,7.0,3244.0
2020-03-09,11,Bhutan,771608,20,7.0,0.0,0.0,7.0
2020-03-09,11,Bolivia,11673021,11,27.0,0.0,0.0,27.0
2020-03-09,11,Bosnia and Herzegovina,3280819,64,78.0,0.0,0.0,78.0
2020-03-09,11,Brazil,212559417,25,610.0,0.0,0.0,610.0
2020-03-09,11,Brunei,437479,83,151.0,0.0,0.0,151.0
2020-03-09,11,Bulgaria,6948445,64,137.0,7.0,0.0,130.0
2020-03-09,11,Burkina Faso,20903273,76,12.0,0.0,0.0,12.0
2020-03-09,11,Cambodia,16718965,95,32.0,0.0,6.0,26.0
2020-03-09,11,Cameroon,26545863,56,6.0,0.0,0.0,6.0
2020-03-09,11,Canada,37742154,4,1023.0,7.0,56.0,960.0
2020-03-09,11,Central African Republic,4829767,8,1.0,0.0,0.0,1.0
2020-03-09,11,Chile,19116201,26,237.0,0.0,0.0,237.0
2020-03-09,11,China,1439323776,153,609985.0,22430.0,483912.0,103643.0
2020-03-09,11,Colombia,50882891,46,90.0,0.0,0.0,90.0
2020-03-09,11,Congo (Brazzaville),5518087,16,1.0,0.0,0.0,1.0
2020-03-09,11,Congo (Kinshasa),89561403,40,10.0,0.0,0.0,10.0
2020-03-09,11,Costa Rica,5094118,100,129.0,0.0,0.0,129.0
2020-03-09,11,Croatia,4105267,73,171.0,0.0,3.0,168.0
2020-03-09,11,Cuba,11326616,106,19.0,0.0,0.0,19.0
2020-03-09,11,Cyprus,1207359,131,83.0,0.0,0.0,83.0
2020-03-09,11,Czechia,10708981,139,809.0,0.0,0.0,809.0
2020-03-09,11,Denmark,5792202,137,3928.0,3.0,7.0,3918.0
2020-03-09,11,Dominican Republic,10847910,225,38.0,0.0,0.0,38.0
2020-03-09,11,Ecuador,17643054,71,137.0,4.0,0.0,133.0
2020-03-09,11,Egypt,102334404,103,540.0,10.0,142.0,388.0
2020-03-09,11,Equatorial Guinea,1402985,50,3.0,0.0,0.0,3.0
2020-03-09,11,Estonia,1326535,31,409.0,0.0,1.0,408.0
2020-03-09,11,Eswatini,1160164,67,8.0,0.0,0.0,8.0
2020-03-09,11,Ethiopia,114963588,115,3.0,0.0,0.0,3.0
2020-03-09,11,Finland,5540720,18,812.0,0.0,16.0,796.0
2020-03-09,11,France,65273511,119,20254.0,409.0,84.0,19761.0
2020-03-09,11,French Guiana,298682,4,5.0,0.0,0.0,5.0
2020-03-09,11,Gabon,2225734,9,6.0,0.0,0.0,6.0
2020-03-09,11,Georgia,3989167,57,166.0,0.0,0.0,166.0
2020-03-09,11,Germany,83783942,240,20674.0,37.0,224.0,20413.0
2020-03-09,11,Ghana,31072940,137,15.0,0.0,0.0,15.0
2020-03-09,11,Greece,10423054,81,1036.0,10.0,16.0,1010.0
2020-03-09,11,Guadeloupe,400124,237,5.0,0.0,0.0,5.0
2020-03-09,11,Guatemala,17915568,167,2.0,0.0,0.0,2.0
2020-03-09,11,Guinea,13132795,53,8.0,0.0,0.0,8.0
2020-03-09,11,Guyana,786552,4,11.0,5.0,0.0,6.0
2020-03-09,11,Holy See,801,2003,12.0,0.0,0.0,12.0
2020-03-09,11,Honduras,9904607,89,11.0,0.0,0.0,11.0
2020-03-09,11,Hong Kong,7496981,7140,909.0,24.0,492.0,393.0
2020-03-09,11,Hungary,9660351,107,125.0,1.0,2.0,122.0
2020-03-09,11,Iceland,341243,3,776.0,5.0,13.0,758.0
2020-03-09,11,India,1380004385,464,531.0,8.0,36.0,487.0
2020-03-09,11,Indonesia,273523615,151,396.0,16.0,24.0,356.0
2020-03-09,11,Iran,83992949,52,72309.0,3160.0,21551.0,47598.0
2020-03-09,11,Iraq,40222493,93,600.0,57.0,118.0,425.0
2020-03-09,11,Ireland,4937786,72,489.0,7.0,0.0,482.0
2020-03-09,11,Israel,8655535,400,903.0,0.0,24.0,879.0
2020-03-09,11,Italy,60461826,206,107809.0,7264.0,9278.0,91267.0
2020-03-09,11,Jamaica,2961167,273,29.0,0.0,0.0,29.0
2020-03-09,11,Japan,126476461,347,4683.0,121.0,767.0,3795.0
2020-03-09,11,Jordan,10203134,115,10.0,0.0,3.0,7.0
2020-03-09,11,Kazakhstan,18776707,7,19.0,0.0,0.0,19.0
2020-03-09,11,Kenya,53771296,94,5.0,0.0,0.0,5.0
2020-03-09,11,Kuwait,4270571,240,517.0,0.0,23.0,494.0
2020-03-09,11,Latvia,1886198,30,107.0,0.0,6.0,101.0
2020-03-09,11,Lebanon,6825445,667,443.0,16.0,6.0,421.0
2020-03-09,11,Liechtenstein,38128,238,13.0,0.0,0.0,13.0
2020-03-09,11,Lithuania,2722289,43,32.0,0.0,1.0,31.0
2020-03-09,11,Luxembourg,625978,242,175.0,2.0,0.0,173.0
2020-03-09,11,Macau,649335,21645,60.0,0.0,60.0,0.0
2020-03-09,11,Malaysia,32365999,99,1407.0,0.0,203.0,1204.0
2020-03-09,11,Maldives,540544,1802,132.0,0.0,0.0,132.0
2020-03-09,11,Malta,441543,1380,68.0,0.0,3.0,65.0
2020-03-09,11,Martinique,375265,354,27.0,0.0,0.0,27.0
2020-03-09,11,Mauritania,4649658,5,5.0,0.0,0.0,5.0
2020-03-09,11,Mexico,128932753,66,106.0,0.0,24.0,82.0
2020-03-09,11,Moldova,4033963,123,51.0,0.0,0.0,51.0
2020-03-09,11,Monaco,39242,26337,8.0,0.0,0.0,8.0
2020-03-09,11,Mongolia,3278290,2,7.0,0.0,0.0,7.0
2020-03-09,11,Morocco,36910560,83,66.0,6.0,3.0,57.0
2020-03-09,11,Namibia,2540905,3,10.0,0.0,0.0,10.0
2020-03-09,11,Nepal,29136808,203,12.0,0.0,12.0,0.0
2020-03-09,11,Netherlands,17134872,508,4617.0,59.0,4.0,4554.0
2020-03-09,11,New Zealand,4822233,18,27.0,0.0,0.0,27.0
2020-03-09,11,Nigeria,206139589,226,16.0,0.0,0.0,16.0
2020-03-09,11,North Macedonia,2083374,83,63.0,0.0,3.0,60.0
2020-03-09,11,Norway,5421241,15,5212.0,6.0,7.0,5199.0
2020-03-09,11,Oman,5106626,16,114.0,0.0,54.0,60.0
2020-03-09,11,Pakistan,220892340,287,167.0,0.0,11.0,156.0
2020-03-09,11,Panama,4314767,58,126.0,5.0,0.0,121.0
2020-03-09,11,Paraguay,7132538,18,28.0,0.0,0.0,28.0
2020-03-09,11,Peru,32971854,26,153.0,0.0,0.0,153.0
2020-03-09,11,Philippines,109581078,368,469.0,29.0,13.0,427.0
2020-03-09,11,Poland,37846611,124,408.0,9.0,0.0,399.0
2020-03-09,11,Portugal,10196709,111,685.0,0.0,5.0,680.0
2020-03-09,11,Qatar,2881053,248,1624.0,0.0,8.0,1616.0
2020-03-09,11,Romania,19237691,84,462.0,0.0,40.0,422.0
